year,term,session,question,answer,learningOutcome
2013,jan,January 2013,16,D,R3
2013,jan,January 2013,17,D,T1
2013,jan,January 2013,18,A,R7
2013,jan,January 2013,19,C,T6
2013,jan,January 2013,20,C,R14
2013,jan,January 2013,21,D,P4
2013,jan,January 2013,22,A,R6
2013,jan,January 2013,23,B,P2
2013,jan,January 2013,24,D,R9
2014,jan,January 2014,16,B,R3
2014,jan,January 2014,17,C,R9
2014,jan,January 2014,18,A,T3
2014,jan,January 2014,19,C,R5
2014,jan,January 2014,20,D,R12
2014,jan,January 2014,21,A,R11
2014,jan,January 2014,22,B,R7
2014,jan,January 2014,23,D,R9
2014,jan,January 2014,24,B,R13
2014,jan,January 2014,25,A,R10
2015,jan,January 2015,16,C,P4
2015,jan,January 2015,17,B,T1
2015,jan,January 2015,18,B,R9
2015,jan,January 2015,19,C,P3
2015,jan,January 2015,20,C,R13
2015,jan,January 2015,21,B,T6
2015,jan,January 2015,22,A,R8
2015,jan,January 2015,23,D,T2
2015,jan,January 2015,24,C,R12
2015,jan,January 2015,25,A,R5
2016,jan,January 2016,14,C,R12
2016,jan,January 2016,15,C,R3
2016,jan,January 2016,16,B,T1
2016,jan,January 2016,17,B,T6
2016,jan,January 2016,18,D,P4
2016,jan,January 2016,19,B,R12
2016,jan,January 2016,20,C,T6
2016,jan,January 2016,21,A,R14
2017,jan,January 2017,19,B,T6
2017,jan,January 2017,20,B,R7
2017,jan,January 2017,21,D,T4
2017,jan,January 2017,22,C,P4
2017,jan,January 2017,23,B,T5
2017,jan,January 2017,24,D,R6
2017,jan,January 2017,25,C,R11
2017,jan,January 2017,26,A,T3
2017,jan,January 2017,27,"C,B,A,D",R12
2018,jan,January 2018,16,D,T1
2018,jan,January 2018,17,B,R12
2018,jan,January 2018,18,A,R7
2018,jan,January 2018,19,C,T1
2018,jan,January 2018,20,D,P2
2018,jan,January 2018,21,B,R14
2018,jan,January 2018,22,B,R3
2018,jan,January 2018,23,C,T6
2018,jan,January 2018,24,A,R9
2019,jan,January 2019,18,D,R11
2019,jan,January 2019,19,C,R7
2019,jan,January 2019,20,A,P3
2019,jan,January 2019,21,B,R1
2019,jan,January 2019,22,C,T6
2019,jan,January 2019,23,A,P4
2019,jan,January 2019,24,A,R13
2019,jan,January 2019,25,D,T1
2019,jan,January 2019,26,C,R1
2019,jan,January 2019,27,A,R2
2020,jan,January 2020,15,B,R1
2020,jan,January 2020,16,D,R6
2020,jan,January 2020,17,A,R14
2020,jan,January 2020,18,C,R7
2020,jan,January 2020,19,A,R11
2020,jan,January 2020,20,B,P2
2020,jan,January 2020,21,B,T3
2020,jan,January 2020,22,C,T1
2024,jan,January 2024,16,D,R3
2024,jan,January 2024,17,A,P4
2024,jan,January 2024,18,C,T1
2024,jan,January 2024,19,C,R12
2024,jan,January 2024,20,B,R14
