year,term,session,question,kind,booklet,sourcePdf,sourcePages,pageCount,points,marksText,calculatorPolicy,answer,learningOutcome,learningOutcomeSource,mgSourcePdf,mgSourcePages,diagnostics,preview
2013,jan,January 2013,1,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[11],1,3.0,3 marks,calculator-active,,T5,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[12, 13]",[],Question 1 3 marks 101 Gina correctly started to answer the following question. Complete her solution. Question: Solve the following equation for all real values of θ. Express your answer in radians correct to 3 decimal places. 2 3sin 14sin 5 0 θ θ − − = Gina’s solution: ( )( ) 2 3sin 14sin 5 0 3sin
2013,jan,January 2013,2,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[12],1,3.0,3 marks,calculator-active,,P4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[14],[],Question 2 3 marks 102 Find and simplify the 6th term in the binomial expansion of 9 4 3 1 3 . x x   −    
2013,jan,January 2013,3,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[13],1,3.0,3 marks,calculator-active,,R10,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[15, 16]",[],"Question 3 3 marks 103 The number of times a website is visited can be modeled by the function: ( ) ( ) 800 where the total number of visitors at time the time in days 0 the rate of growth rt A e A t t t r = = = ≥ = After 5 days, 40 000 people have visited the site. Determine the number of visitors "
2013,jan,January 2013,4,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[14],1,3.0,3 marks,calculator-active,,R10,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[17],[],Question 4 3 marks 104 Solve algebraically: 3 5 10 7 x x + = Express your answer correct to 3 decimal places.
2013,jan,January 2013,5,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[15],1,2.0,2 marks,calculator-active,,P2,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[18],[],"Question 5 2 marks 105 A word contains two Ms, two Es, two Ns, and no other repeated letters. Suppose one of the Ns is replaced by an M. Will this replacement result in greater or fewer permutations? Justify your reasoning."
2013,jan,January 2013,6,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[16],1,3.0,3 marks,calculator-active,,P3,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[19],[],Question 6 3 marks 106 There is a group of 16 boys and 12 girls. How many ways can a committee of 3 people be formed if there must be at least 2 girls on the committee? Express your answer as a whole number. Note: A calculator is not required for the remaining test questions.
2013,jan,January 2013,7,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[17],1,2.0,2 marks,no-calculator,,T1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[20],[],"Question 7 2 marks 107 A student is using the formula s r θ = to find an arc length of a circle. Given a central angle measure of 35 and a radius of 6 cm, the student’s solution is as follows: ( )( ) 35 6 210 cm s s = = Explain why this solution is incorrect. Write the correct solution. "
2013,jan,January 2013,8,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[17],1,1.0,1 mark,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[21],[],"Question 8 1 mark 108 Given the graph of ( ) f x below, explain how you would sketch the graph of ( ) . y f x = y x"
2013,jan,January 2013,9,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[18],1,1.0,1 mark,no-calculator,,R10,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[22],[],Question 9 1 mark 109 Claire correctly solves the following equation: ( ) ( ) 2 2 log 6 log 3 2 x x − + − = She finds two possible values of x: 2 x = and 7. x = Identify which one of these values is unacceptable and explain why. 
2013,jan,January 2013,10,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[18],1,1.0,1 mark,no-calculator,,R13,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[23],[],"Question 10 1 mark 110 Given the graph of the function ( ) f x below, state the domain of ( ). y f x = y x 1 1"
